timestamp,date,time,weekday,rank,summary,distance_km,duration_min,traffic_min,delay_min
2026-05-07T08:31:40.553039,2026-05-07,08:31,Thursday,2,S Maryland Pkwy,13.1,19.8,21.0,1.2
2026-05-07T08:31:40.553039,2026-05-07,08:31,Thursday,3,S Eastern Ave,13.56,22.9,22.3,-0.7
2026-05-07T08:36:41.194948,2026-05-07,08:36,Thursday,1,S Spencer St,12.65,19.9,20.2,0.4
2026-05-07T08:36:41.194948,2026-05-07,08:36,Thursday,2,S Eastern Ave,13.56,22.9,22.3,-0.7
2026-05-07T08:36:41.194948,2026-05-07,08:36,Thursday,3,I-15 S,27.18,24.6,25.9,1.3
2026-05-07T08:41:41.695756,2026-05-07,08:41,Thursday,1,S Spencer St,12.65,19.9,20.3,0.4
2026-05-07T08:41:41.695756,2026-05-07,08:41,Thursday,2,S Eastern Ave,13.56,22.9,22.4,-0.5
2026-05-07T08:41:41.695756,2026-05-07,08:41,Thursday,3,I-15 S,27.18,24.6,25.9,1.3
2026-05-07T08:46:42.202603,2026-05-07,08:46,Thursday,1,S Spencer St,12.65,19.9,20.4,0.5
2026-05-07T08:46:42.202603,2026-05-07,08:46,Thursday,2,S Eastern Ave,13.57,23.1,22.2,-0.8
2026-05-07T08:46:42.202603,2026-05-07,08:46,Thursday,3,I-15 S,27.18,24.6,26.2,1.6
2026-05-07T08:51:42.781959,2026-05-07,08:51,Thursday,1,S Spencer St,12.65,19.9,20.4,0.5
2026-05-07T08:51:42.781959,2026-05-07,08:51,Thursday,2,S Eastern Ave,13.56,22.9,22.6,-0.3
2026-05-07T08:51:42.781959,2026-05-07,08:51,Thursday,3,Bermuda Rd,14.49,21.6,23.1,1.6
2026-05-07T08:56:43.351543,2026-05-07,08:56,Thursday,1,S Spencer St,12.65,19.9,20.1,0.3
2026-05-07T08:56:43.351543,2026-05-07,08:56,Thursday,2,S Eastern Ave,13.57,23.1,22.2,-0.9
2026-05-07T08:56:43.351543,2026-05-07,08:56,Thursday,3,I-15 S,27.18,24.6,25.8,1.2
2026-05-07T09:01:43.810157,2026-05-07,09:01,Thursday,1,S Spencer St,12.65,19.9,20.1,0.2
2026-05-07T09:01:43.810157,2026-05-07,09:01,Thursday,2,S Eastern Ave,13.56,22.9,22.2,-0.7
2026-05-07T09:01:43.810157,2026-05-07,09:01,Thursday,3,I-15 S,27.18,24.6,25.8,1.1
2026-05-07T09:06:44.387985,2026-05-07,09:06,Thursday,1,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-07T09:06:44.387985,2026-05-07,09:06,Thursday,2,S Eastern Ave,13.56,22.9,22.1,-0.8
2026-05-07T09:06:44.387985,2026-05-07,09:06,Thursday,3,I-15 S,27.18,24.6,25.7,1.1
2026-05-07T09:11:44.904808,2026-05-07,09:11,Thursday,1,S Spencer St,12.65,19.9,19.7,-0.1
2026-05-07T09:11:44.904808,2026-05-07,09:11,Thursday,2,S Eastern Ave,13.56,22.9,22.0,-0.9
2026-05-07T09:11:44.904808,2026-05-07,09:11,Thursday,3,Bermuda Rd,14.49,21.6,22.4,0.8
2026-05-07T09:16:45.447412,2026-05-07,09:16,Thursday,1,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-07T09:16:45.447412,2026-05-07,09:16,Thursday,2,S Maryland Pkwy,13.1,19.8,20.4,0.6
2026-05-07T09:16:45.447412,2026-05-07,09:16,Thursday,3,S Eastern Ave,13.56,22.9,21.9,-1.0
2026-05-07T09:21:45.960072,2026-05-07,09:21,Thursday,1,S Spencer St,12.65,19.9,19.7,-0.1
2026-05-07T09:21:45.960072,2026-05-07,09:21,Thursday,2,S Maryland Pkwy,13.1,19.8,20.1,0.3
2026-05-07T09:21:45.960072,2026-05-07,09:21,Thursday,3,S Eastern Ave,13.56,22.9,22.1,-0.8
2026-05-07T09:26:46.382615,2026-05-07,09:26,Thursday,1,S Spencer St,12.65,19.9,19.9,0.1
2026-05-07T09:26:46.382615,2026-05-07,09:26,Thursday,2,S Maryland Pkwy,13.1,19.8,20.3,0.5
2026-05-07T09:26:46.382615,2026-05-07,09:26,Thursday,3,S Eastern Ave,13.56,22.9,22.3,-0.6
2026-05-07T09:31:46.857476,2026-05-07,09:31,Thursday,1,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-07T09:31:46.857476,2026-05-07,09:31,Thursday,2,S Maryland Pkwy,13.1,19.8,20.3,0.5
2026-05-07T09:31:46.857476,2026-05-07,09:31,Thursday,3,S Eastern Ave,13.57,23.1,22.1,-0.9
2026-05-07T09:36:47.409092,2026-05-07,09:36,Thursday,1,S Spencer St,12.65,19.9,19.9,0.1
2026-05-07T09:36:47.409092,2026-05-07,09:36,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T09:36:47.409092,2026-05-07,09:36,Thursday,3,S Eastern Ave,13.56,22.9,22.3,-0.6
2026-05-07T09:41:47.890311,2026-05-07,09:41,Thursday,1,S Spencer St,12.65,19.9,19.9,-0.0
2026-05-07T09:41:47.890311,2026-05-07,09:41,Thursday,2,S Maryland Pkwy,13.1,19.8,20.3,0.5
2026-05-07T09:41:47.890311,2026-05-07,09:41,Thursday,3,S Eastern Ave,13.57,23.1,22.1,-0.9
2026-05-07T09:46:48.548281,2026-05-07,09:46,Thursday,1,S Spencer St,12.65,19.9,19.9,0.1
2026-05-07T09:46:48.548281,2026-05-07,09:46,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T09:46:48.548281,2026-05-07,09:46,Thursday,3,S Eastern Ave,13.56,22.9,22.3,-0.6
2026-05-07T09:51:49.083621,2026-05-07,09:51,Thursday,1,S Spencer St,12.65,19.9,20.0,0.1
2026-05-07T09:51:49.083621,2026-05-07,09:51,Thursday,2,S Maryland Pkwy,13.1,19.8,20.1,0.3
2026-05-07T09:51:49.083621,2026-05-07,09:51,Thursday,3,S Eastern Ave,13.57,23.1,22.3,-0.8
2026-05-07T09:56:49.590088,2026-05-07,09:56,Thursday,1,S Spencer St,12.65,19.9,20.0,0.1
2026-05-07T09:56:49.590088,2026-05-07,09:56,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T09:56:49.590088,2026-05-07,09:56,Thursday,3,S Eastern Ave,13.57,23.1,21.9,-1.2
2026-05-07T14:31:56.877159,2026-05-07,14:31,Thursday,1,S Maryland Pkwy,13.1,19.8,21.6,1.8
2026-05-07T14:31:56.877159,2026-05-07,14:31,Thursday,2,Bermuda Rd,14.49,21.6,23.1,1.5
2026-05-07T14:31:56.877159,2026-05-07,14:31,Thursday,3,S Eastern Ave,13.57,23.1,25.4,2.3
2026-05-07T14:36:57.508442,2026-05-07,14:36,Thursday,1,S Maryland Pkwy,13.1,19.8,21.4,1.6
